권역,시도,세부 지역(시·군·구),이름,업종,등급,객실수,전화번호,주소,홈페이지 URL,예약/프로모션 페이지
수도권,경기도,고양시,소노캄 고양,관광호텔업,5성,826,031-927-7700,경기도 고양시 일산동구 태극로 20 (장항동),http://www.sonohotelsresorts.com/goyang,http://www.sonohotelsresorts.com/goyang
수도권,경기도,성남시,더블트리 바이 힐튼 서울 판교,관광호텔업,5성,432,031-678-5500,경기도 성남시 분당구 백현로 26 (정자동),https://doubletree.hilton.co.kr/hotel/seoul/doubletree-by-hilton-seoul-pangyo,https://doubletree.hilton.co.kr/hotel/seoul/doubletree-by-hilton-seoul-pangyo
수도권,경기도,성남시,더블트리 바이 힐튼 서울 판교 레지던스,가족호텔업,5성,170,031-678-5500,경기도 성남시 분당구 백현로 26 (정자동),https://doubletree.hilton.co.kr/hotel/seoul/doubletree-by-hilton-seoul-pangyo,https://doubletree.hilton.co.kr/hotel/seoul/doubletree-by-hilton-seoul-pangyo
수도권,서울특별시,강남구,그랜드 인터컨티넨탈 서울 파르나스,관광호텔업,5성,550,02-555-5656,서울특별시 강남구 테헤란로 521 그랜드 인터컨티넨탈 서울 파르나스 (삼성동),https://seoul.intercontinental.com/grandicparnas,https://seoul.intercontinental.com/grandicparnas
수도권,서울특별시,강남구,노보텔 앰배서더 서울 강남,관광호텔업,5성,332,02-531-6451,서울특별시 강남구 봉은사로 130 (역삼동),https://www.ambatel.com/novotel/gangnam/ko/main.do,https://www.ambatel.com/novotel/gangnam/ko/main.do
수도권,서울특별시,강남구,안다즈 서울 강남,관광호텔업,5성,241,02-2193-1234,서울특별시 강남구 논현로 854 (신사동),https://www.hyatt.com/andaz/selaz-andaz-seoul-gangnam,https://www.hyatt.com/andaz/selaz-andaz-seoul-gangnam
수도권,서울특별시,강남구,인터컨티넨탈 서울 코엑스,관광호텔업,5성,656,02-3452-2500,서울특별시 강남구 봉은사로 524 (삼성동),https://seoul.intercontinental.com/iccoex/,https://seoul.intercontinental.com/iccoex/
수도권,서울특별시,강남구,조선팰리스강남,관광호텔업,5성,254,02-727-7200,서울특별시 강남구 테헤란로 231 조선팰리스강남 (역삼동),https://josunhotel.com/hotel/josunpalace.do,https://josunhotel.com/hotel/josunpalace.do
수도권,서울특별시,강남구,파크하얏트서울,관광호텔업,5성,185,02-2016-1234,서울특별시 강남구 테헤란로 606 (대치동),http://www.parkhyattseoul.com,http://www.parkhyattseoul.com
수도권,서울특별시,강남구,호텔 오크우드프리미어,가족호텔업,5성,281,02-3466-7000,서울특별시 강남구 테헤란로87길 46 (삼성동),,
